from_stop_id,to_stop_id,transfer_type,min_transfer_time
4274,4273,2,14400
1277,4273,2,7200
1277,3819,2,7200
3819,4274,2,14400
3819,1277,2,7200
4273,1277,2,7200
4273,4274,2,14400
1754,1756,1,
1754,1752,1,
1754,1753,1,
1755,1756,1,
1755,1752,1,
1755,1753,1,
1756,1755,1,
1752,1754,1,
1753,1754,1,
4065,4057,1,
4065,4055,1,
4066,4055,1,
4054,4066,1,
4065,4066,1,
4057,4066,1,
4057,4065,1,
4066,4065,1,
3099,3098,1,
1752,1753,1,
1756,1753,1,
4066,4057,1,
4065,2785,1,
4066,2785,1,
4066,78,1,
4066,4054,1,
4065,4054,1,
3098,3099,1,
4065,78,1,
1755,1754,1,
1756,1754,1,
1752,1755,1,
1754,1755,1,
78,4055,1,
4059,4055,1,
4060,4055,1,
4057,4059,1,
4058,4059,1,
4054,4059,1,
2785,4059,1,
78,4059,1,
4066,4059,1,
4058,4060,1,
4054,4060,1,
78,4060,1,
4066,4060,1,
4055,4060,1,
4059,4060,1,
4061,4060,1,
78,4061,1,
4055,4061,1,
4059,4061,1,
4060,4061,1,
4073,3943,1,
4073,4071,1,
2785,78,1,
3097,3096,1,
3098,3096,1,
3100,3096,1,
3099,3096,1,
3096,3099,1,
3096,3097,1,
3098,3097,1,
3100,3097,1,
3099,3097,1,
3097,3099,1,
3100,3099,1,
3097,3100,1,
3096,3100,1,
3098,3100,1,
3099,3100,1,
4055,4057,1,
4059,4057,1,
4060,4057,1,
4061,4057,1,
4058,4057,1,
4054,4057,1,
4057,78,1,
4059,4054,1,
4060,4054,1,
4061,4054,1,
4057,4058,1,
78,4057,1,
4055,4058,1,
4059,4058,1,
4060,4058,1,
4061,4058,1,
3096,3098,1,
3097,3098,1,
3100,3098,1,
4055,78,1,
4059,78,1,
4060,78,1,
4061,78,1,
4060,4066,1,
4061,4066,1,
4054,4058,1,
2785,4058,1,
78,4058,1,
4066,4058,1,
4057,4054,1,
4058,4054,1,
78,4054,1,
4159,4152,1,
4152,4159,1,
4055,4059,1,
4060,4059,1,
4055,4054,1,
4059,2785,1,
4060,2785,1,
4061,2785,1,
4162,4151,1,
4151,4161,1,
4162,4161,1,
4057,2785,1,
4058,2785,1,
4054,2785,1,
78,2785,1,
4055,2785,1,
4161,4162,1,
4151,4162,1,
4161,4151,1,
4058,78,1,
4054,78,1,
4061,4055,1,
4058,4066,1,
4059,4066,1,
4061,4059,1,
4057,4055,1,
4058,4055,1,
4054,4055,1,
4071,4073,1,
3943,4073,1,
4071,3943,1,
1756,1752,1,
1753,1752,1,
4052,4058,1,
4056,4058,1,
4052,4054,1,
4056,4054,1,
4052,4059,1,
4056,4059,1,
4052,4055,1,
4056,4055,1,
4058,4052,1,
4054,4052,1,
4057,4052,1,
4066,4052,1,
4061,4052,1,
4056,4052,1,
4065,4052,1,
4052,4057,1,
4056,4057,1,
4052,2785,1,
4056,2785,1,
4052,4066,1,
4056,4066,1,
4052,4060,1,
4056,4060,1,
4058,4061,1,
4052,78,1,
4056,78,1,
4066,4061,1,
4052,4061,1,
4056,4061,1,
4065,4061,1,
4059,4056,1,
4055,4056,1,
4060,4056,1,
4061,4056,1,
4052,4056,1,
1752,1756,1,
4061,4065,1,
4052,4065,1,
4056,4065,1,
4368,4366,1,
4367,4366,1,
4366,4367,1,
4366,217,1,
4368,217,1,
4367,217,1,
4066,4056,1,
4366,4368,1,
4367,4368,1,
2785,4056,1,
4065,4056,1,
4054,4056,1,
4058,4056,1,
4057,4056,1,
217,4368,1,
78,4056,1,
78,4065,1,
4058,4065,1,
4054,4065,1,
4059,4065,1,
4055,4065,1,
4060,4065,1,
2785,4065,1,
